KerbsideID,RoadSegmentID,Location
50511,20206,"-37.8098731, 144.9723553"
51827,20148,"-37.814489, 144.9688828"
65810,20034,"-37.8084479, 144.9714384"
51449,20145,"-37.8083711, 144.9688786"
16778,20185,"-37.8139228, 144.9575084"
52125,20151,"-37.8115574, 144.9675383"
52129,20151,"-37.8113649, 144.9674506"
21684,22311,"-37.8482249, 144.9835122"
21679,22311,"-37.8481677, 144.9830433"
65574,20011,"-37.8135387, 144.9579166"
65461,20009,"-37.8127823, 144.9605476"
54332,20174,"-37.8143156, 144.9603952"
54327,20174,"-37.8144597, 144.9604614"
54333,20174,"-37.814293, 144.9603848"
21526,22201,"-37.8350129, 144.9774166"
21527,22201,"-37.8350219, 144.977485"
64142,20090,"-37.8167152, 144.9548845"
12297,21141,"-37.7993869, 144.9533927"
22023,21141,"-37.7994655, 144.9532927"
54551,20176,"-37.8124089, 144.9594038"
54436,20175,"-37.8135097, 144.9600262"
61716,20106,"-37.8136891, 144.9723734"
15091,23311,"-37.8212394, 144.9435162"
20912,23032,"-37.8204305, 144.9455268"
61414,20133,"-37.818512, 144.9601263"
61328,20131,"-37.818185, 144.9611332"
18563,22941,"-37.8191573, 144.9493844"
53935,20170,"-37.818201, 144.9621819"
22022,21141,"-37.7992041, 144.9536251"
12293,21141,"-37.7990268, 144.9535178"
65466,20009,"-37.812795, 144.9604165"
18575,22802,"-37.8193131, 144.9486366"
65196,20003,"-37.8107415, 144.9678272"
18622,23311,"-37.821106, 144.9429573"
20595,22448,"-37.8196129, 144.9470582"
20599,22448,"-37.8205047, 144.9472127"
21488,22448,"-37.819886, 144.9469832"
60424,20216,"-37.8185299, 144.9633934"
13410,22913,"-37.8197507, 144.9440534"
66444,20046,"-37.8130497, 144.9558267"
17437,21849,"-37.8101398, 144.9756892"
5959,21855,"-37.8121426, 144.9776289"
17455,21851,"-37.8106773, 144.9760746"
63516,20078,"-37.8122462, 144.9696932"
18643,21554,"-37.8087686, 144.9729365"
17958,21553,"-37.8105318, 144.9729482"
18825,20889,"-37.8095037, 144.9747779"
18826,20889,"-37.8095104, 144.9748363"
17506,21852,"-37.8112251, 144.9754391"
7485,20891,"-37.8097812, 144.9773291"
7879,20893,"-37.8101318, 144.9804739"
16430,20898,"-37.8101133, 144.9816282"
17562,21580,"-37.8109052, 144.9872651"
17549,21580,"-37.8110014, 144.9881426"
17564,21580,"-37.8108904, 144.9871301"
25124,21860,"-37.811135, 144.983309"
25122,21860,"-37.8112386, 144.983292"
25113,22622,"-37.8120381, 144.9831574"
25091,21902,"-37.8132773, 144.98295"
25085,21902,"-37.8135879, 144.9828969"
25073,21932,"-37.8141024, 144.9828091"
25064,21937,"-37.815032, 144.9826496"
25061,21937,"-37.8151878, 144.982623"
25056,21937,"-37.8154455, 144.9825788"
17380,20897,"-37.8093411, 144.9809898"
63067,20099,"-37.815617, 144.9623491"
10973,21859,"-37.8140324, 144.9777415"
18168,21596,"-37.8079426, 144.972308"
61137,20127,"-37.816742, 144.9660927"
65552,20011,"-37.8133259, 144.9586461"
57942,20068,"-37.8201537, 144.9545418"
57941,20067,"-37.8202051, 144.9545654"
57937,20067,"-37.8204105, 144.9546596"
65834,20034,"-37.8089023, 144.9698715"
65022,20001,"-37.8096852, 144.9707554"
65047,20001,"-37.8096269, 144.9712884"
52224,20152,"-37.8103586, 144.9669934"
61911,20110,"-37.8148265, 144.9684999"
61940,20110,"-37.814914, 144.9687559"
61952,20110,"-37.8151533, 144.9679391"
63954,20086,"-37.8154216, 144.9593602"
53225,20167,"-37.8128193, 144.9624117"
53913,20170,"-37.8184502, 144.9624216"
61320,20131,"-37.8179997, 144.9617801"
60132,20210,"-37.8162484, 144.9718555"
66332,20044,"-37.8125557, 144.9573779"
16746,21557,"-37.8028419, 144.9668769"
8754,20873,"-37.8022035, 144.9610642"
8890,20456,"-37.8048212, 144.9598892"
9581,20992,"-37.8041447, 144.9495304"
9613,20992,"-37.8039734, 144.9493693"
9617,20994,"-37.8049745, 144.9487597"
9619,20994,"-37.8049714, 144.9487316"
9632,20994,"-37.8050811, 144.9487788"
9636,20994,"-37.8050307, 144.9483296"
10670,20951,"-37.8058084, 144.9546241"
11177,20998,"-37.8031784, 144.948215"
11263,21384,"-37.806427, 144.9541116"
11482,20990,"-37.8031329, 144.9504745"
50849,20139,"-37.8146662, 144.9716891"
64568,20055,"-37.8130116, 144.9636084"
64565,20055,"-37.8128845, 144.964046"
63533,20078,"-37.8126302, 144.9683894"
62341,20118,"-37.817895, 144.9584956"
21150,20135,"-37.8189933, 144.9586321"
5734,20003,"-37.8106575, 144.9677738"
62060,20112,"-37.8160321, 144.9649324"
62030,20112,"-37.8159852, 144.9645415"
62872,20095,"-37.8140347, 144.9677148"
61713,20106,"-37.8136326, 144.972565"
64463,20053,"-37.8123434, 144.9659052"
52013,20150,"-37.8123365, 144.9680201"
52245,20152,"-37.810418, 144.9668914"
63141,20101,"-37.8163272, 144.9598687"
65614,20013,"-37.8138751, 144.9563824"
54065,20171,"-37.8172751, 144.9616359"
17242,20472,"-37.8022345, 144.9586945"
51832,20148,"-37.8143708, 144.9688296"
65356,20007,"-37.8120118, 144.9634919"
65956,20036,"-37.809316, 144.96858"
21748,22311,"-37.8480927, 144.9833382"
65571,20011,"-37.8135129, 144.9580052"
53931,20170,"-37.8183208, 144.9622369"
21515,22199,"-37.8347879, 144.9756935"
21522,22199,"-37.8348499, 144.9761679"
21524,22201,"-37.8349951, 144.9772801"
21534,22203,"-37.8350937, 144.9780353"
21968,21122,"-37.8010893, 144.955498"
11138,21404,"-37.808108, 144.9546315"
54529,20176,"-37.8124725, 144.9595578"
18217,22802,"-37.8189889, 144.9486242"
65195,20003,"-37.8107226, 144.9678916"
20614,22915,"-37.8195443, 144.9436976"
18540,22822,"-37.8188309, 144.9499309"
61326,20131,"-37.8181485, 144.9612614"
18567,22941,"-37.8196482, 144.9497715"
50815,20139,"-37.814619, 144.9718374"
50653,21847,"-37.8082197, 144.9716091"
17338,23226,"-37.8127706, 144.9399703"
17339,23226,"-37.8124765, 144.9407444"
23380,23267,"-37.8132065, 144.9407433"
23383,23267,"-37.8130494, 144.9406474"
23384,23267,"-37.8129982, 144.9406167"
65645,20013,"-37.813916, 144.9565781"
65656,20013,"-37.814024, 144.9562"
65657,20013,"-37.8141553, 144.9557407"
50625,21847,"-37.8082193, 144.9717318"
23810,21117,"-37.8015921, 144.956565"
14999,23224,"-37.814374, 144.9375184"
14992,23224,"-37.8131399, 144.9367787"
14998,23224,"-37.8141303, 144.9373709"
14996,23224,"-37.8142279, 144.9374296"
16414,20897,"-37.8096789, 144.9811084"
16416,20897,"-37.8098317, 144.9810832"
9442,20939,"-37.8049186, 144.957364"
24048,20939,"-37.8048144, 144.9572682"
23979,20939,"-37.8044584, 144.9573311"
54616,20177,"-37.8114491, 144.9592182"
56917,20191,"-37.8166948, 144.9560067"
13420,22913,"-37.8196686, 144.9443363"
10287,20573,"-37.7949061, 144.9714182"
10295,20573,"-37.7952328, 144.9727425"
65454,20009,"-37.8125755, 144.96117"
17448,21849,"-37.8103844, 144.9753626"
5944,21855,"-37.8120519, 144.976795"
5938,21855,"-37.8119926, 144.9762536"
5934,21855,"-37.811962, 144.9759783"
24604,21863,"-37.8116649, 144.9861146"
24600,21863,"-37.8114493, 144.986151"
24599,21863,"-37.8113957, 144.9861601"
56529,20416,"-37.8164457, 144.957236"
64234,20049,"-37.8108704, 144.9707591"
61930,20110,"-37.8151968, 144.9672381"
20612,23246,"-37.8210268, 144.9454375"
16285,23151,"-37.8202473, 144.943987"
16415,20897,"-37.8096557, 144.9811123"
50933,20140,"-37.8135452, 144.9711692"
17472,21851,"-37.8108434, 144.9776012"
17471,21851,"-37.8108362, 144.9775353"
50817,20139,"-37.8144901, 144.9717776"
63542,20078,"-37.8122906, 144.9700939"
25007,20889,"-37.8093936, 144.9737778"
17504,21852,"-37.8111115, 144.9754569"
58211,20075,"-37.816312, 144.9530287"
58120,20073,"-37.8172812, 144.9534718"
58114,20073,"-37.8176007, 144.9536203"
7839,20891,"-37.8097959, 144.9774641"
51931,20149,"-37.8133715, 144.9683708"
65210,20005,"-37.8108553, 144.9667674"
65861,20034,"-37.8089244, 144.9699658"
65862,20034,"-37.8089424, 144.9699041"
65852,20034,"-37.8087525, 144.9705576"
62350,20118,"-37.8182087, 144.9574054"
62238,20116,"-37.8171683, 144.9610181"
61950,20110,"-37.8151155, 144.9680684"
52025,20150,"-37.8123723, 144.9677882"
50013,20196,"-37.814784, 144.9747594"
50525,20206,"-37.8096774, 144.9721525"
56714,20189,"-37.8188936, 144.957015"
56929,20191,"-37.8167325, 144.9557745"
57229,20194,"-37.8137666, 144.9544074"
57223,20194,"-37.8141038, 144.954564"
57219,20194,"-37.8135951, 144.9545813"
61246,20129,"-37.8176713, 144.9628826"
63337,20105,"-37.8175345, 144.9557122"
63353,20105,"-37.817834, 144.9546728"
16743,21557,"-37.8028559, 144.9670047"
22316,20522,"-37.8063291, 144.9660901"
9340,21113,"-37.8047299, 144.9590746"
9346,21113,"-37.8050324, 144.959214"
9383,21115,"-37.8026347, 144.9580723"
57648,21518,"-37.8097278, 144.9525132"
57640,21518,"-37.8101281, 144.952721"
10318,20468,"-37.8007587, 144.9625376"
10319,20468,"-37.8008123, 144.9625284"
10672,20951,"-37.8057926, 144.9544835"
10707,20951,"-37.8056159, 144.9545632"
10708,20951,"-37.8056236, 144.9546306"
10718,20980,"-37.8040986, 144.9510665"
10727,20980,"-37.8046019, 144.9509775"
10832,21392,"-37.8070252, 144.9549485"
10844,21392,"-37.8066545, 144.9550146"
10857,21392,"-37.8062814, 144.9550813"
11176,20998,"-37.8031261, 144.9482244"
11255,21386,"-37.8069049, 144.9543294"
11483,20990,"-37.8031364, 144.950506"
63240,20103,"-37.8169541, 144.9576705"
63213,20103,"-37.816728, 144.958134"
11879,22686,"-37.8008654, 144.9562383"
13134,21405,"-37.8083723, 144.9530499"
63119,20101,"-37.8161602, 144.9602811"
63126,20101,"-37.8162862, 144.9598389"
63634,20080,"-37.8129933, 144.9675939"
63623,20080,"-37.8131029, 144.9668661"
63618,20080,"-37.8130083, 144.9671877"
64377,20051,"-37.8117148, 144.968043"
6390,20084,"-37.8148429, 144.9613719"
66344,20044,"-37.8122981, 144.9584449"
62663,20091,"-37.8128931, 144.9716002"
69977,22445,"-37.8225124, 144.9526587"
69965,22445,"-37.8222894, 144.953427"
61615,20137,"-37.8196124, 144.9561251"
61616,20137,"-37.8196306, 144.956061"
62064,20112,"-37.8161221, 144.9646223"
61151,20127,"-37.8170834, 144.9649277"
60230,20212,"-37.8172459, 144.9678089"
61741,20106,"-37.8138838, 144.9722605"
67231,20026,"-37.8113928, 144.9578772"
65952,20036,"-37.8092485, 144.9688094"
54415,20175,"-37.8135923, 144.9601906"
54248,20173,"-37.8156323, 144.9608764"
62349,20118,"-37.8181903, 144.9574695"
63636,20080,"-37.8130329, 144.9674587"
63627,20080,"-37.813178, 144.9666105"
65479,20009,"-37.8124162, 144.9614232"
69967,22445,"-37.8223279, 144.9532935"
61844,20108,"-37.814628, 144.9697388"
60131,20210,"-37.8162294, 144.9719193"
61933,20110,"-37.8152629, 144.9670122"
62645,20091,"-37.8125307, 144.9728388"
64344,20051,"-37.8113091, 144.9694187"
52247,20152,"-37.8103163, 144.9668449"
57918,20067,"-37.8202196, 144.9548219"
65334,20007,"-37.8121073, 144.9624875"
65097,20001,"-37.8100332, 144.9702431"
66222,20042,"-37.8116269, 144.9606231"
63330,20105,"-37.8178463, 144.9543264"
65659,20013,"-37.814172, 144.9556823"
60220,20212,"-37.8170371, 144.9685185"
11369,20945,"-37.8042219, 144.9554463"
11396,20945,"-37.8053236, 144.9552483"
62323,20118,"-37.8179913, 144.9575924"
65447,20009,"-37.8125091, 144.9614834"
15001,22855,"-37.8144747, 144.9398976"
15006,22855,"-37.8145259, 144.9399286"
14991,23224,"-37.8130911, 144.9367492"
57327,20195,"-37.8129442, 144.9540271"
16411,20897,"-37.809553, 144.9811294"
16413,20897,"-37.8097022, 144.9811046"
9418,20931,"-37.8054022, 144.957152"
9449,20931,"-37.8051539, 144.9573223"
24049,20939,"-37.804789, 144.9572727"
9438,20939,"-37.8047791, 144.9573886"
9405,20939,"-37.804185, 144.9573659"
21492,23225,"-37.8133021, 144.9392875"
13421,22913,"-37.8196602, 144.9443653"
13419,22913,"-37.819677, 144.9443073"
10279,20573,"-37.7950548, 144.9727803"
10294,20573,"-37.7952159, 144.9725893"
51859,20148,"-37.8141926, 144.9686245"
